comparison,metric,point_estimate,bootstrap_center,ci_low,ci_high,err_low,err_high,significant,ci_low_90,ci_high_90,significant_90,ci_low_95,ci_high_95,significant_95,ci_low_99,ci_high_99,significant_99,bootstrap_p_value,n_episodes,n_clusters,model_name,checkpoint,train_start_year,train_end_year,validation_year,test_year,split,split_year,left_policy,right_policy,hof_bootstrap_scope,source_file,candidate,family,selected_policy,complexity
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_bs,rew,2.47102292017732,2.429690325694517,1.4890146002615066,3.28948170767454,0.9406757254330108,0.8597913819800218,1,1.6444834790856986,3.1557905067133016,1,1.4890146002615063,3.28948170767454,1,1.1716917605075263,3.549222649998746,1,0.0,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_bs,cvar,0.3219541279706333,0.2549211431530796,0.04772626062105,0.42241198678742,0.2071948825320296,0.1674908436343403,1,0.0535973166886249,0.4171959262982524,1,0.04772626062105,0.42241198678742,1,0.04772626062105,0.4290288016547824,1,0.0,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_bs,log_down_var_ratio,-1.1016292719800511,-0.9982237602248416,-1.587944380026183,-0.3904252644961701,0.5897206198013413,0.6077984957286716,1,-1.521244439665279,-0.4258447986609461,1,-1.5879443800261832,-0.3904252644961701,1,-1.6879174769191974,-0.3353330394121185,1,0.0,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_bs,log_var_ratio,-0.0665074380568376,-0.065397761384598,-0.3607172522705729,0.1122055697658048,0.2953194908859748,0.1776033311504029,0,-0.3049292160605781,0.0940410326417412,0,-0.360717252270573,0.1122055697658048,0,-0.463436371403874,0.2571885659923615,0,0.6544,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_agent,rew,0.5251555017961329,0.4940157665106287,-0.163593818119827,1.1000069522371407,0.6576095846304557,0.6059911857265121,0,-0.0662815442767141,1.0085193578574043,0,-0.163593818119827,1.1000069522371407,0,-0.3543614449358926,1.262324559400397,0,0.1486,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,agent,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_agent,cvar,0.0858481863138266,0.0759348899146048,-0.0659955837221499,0.22870573994179,0.1419304736367547,0.1527708500271852,0,-0.0604046272984065,0.2055977555406033,0,-0.0659955837221499,0.22870573994179,0,-0.0659955837221499,0.22870573994179,0,0.3782,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,agent,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_agent,log_down_var_ratio,-0.2995299630124852,-0.2572301225379834,-0.5771883787693768,0.1104245429660289,0.3199582562313934,0.3676546655040122,0,-0.5349267784616224,0.0718005397760862,0,-0.5771883787693769,0.1104245429660289,0,-0.6451339358026665,0.1786946665415769,0,0.2652,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,agent,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_focus_bs_delta_residual__idx004__c006_vs_agent,log_var_ratio,0.110590741917309,0.0931257846416746,-0.2743754566438313,0.4871874427973658,0.367501241285506,0.3940616581556912,0,-0.2124791529597955,0.4421312071645695,0,-0.2743754566438314,0.4871874427973658,0,-0.374984013856534,0.5668719652177528,0,0.787,75,11,final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,test,2015,hof__smooth_focus_bs_delta_residual__idx004__c006,agent,all_hof,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_test_hof_all_bootstrap_summary.csv,smooth_focus_bs_delta_residual,Smooth focus,hof__smooth_focus_bs_delta_residual__idx004__c006,6
hof__smooth_uniform_bs_delta_residual__idx004__c006_vs_bs,rew,1.405366321077919,1.414102800574575,1.0583438170921455,1.8430081139522536,0.3557589834824295,0.4289053133776785,1,1.1176055469203068,1.7556741361836143,1,1.0583438170921455,1.8430081139522536,1,0.9582884941759284,2.022968408656749,1,0.0,117,11,final_WF_exp1_k1_test2016,5000,2010,2014,2015,2016,test,2016,hof__smooth_uniform_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2016_final_WF_exp1_k1_test2016\final_WF_exp1_k1_test2016_5000_test_hof_all_bootstrap_summary.csv,smooth_uniform_bs_delta_residual,Smooth uniform,hof__smooth_uniform_bs_delta_residual__idx004__c006,6
hof__smooth_uniform_bs_delta_residual__idx004__c006_vs_bs,cvar,0.1216571797591901,0.1143451483199014,0.0254108385346294,0.2677303983328299,0.0889343097852719,0.1533852500129285,1,0.040686666374334,0.2451778703888374,1,0.0254108385346294,0.2677303983328299,1,-0.015796279451406,0.3013712924647299,0,0.0188,117,11,final_WF_exp1_k1_test2016,5000,2010,2014,2015,2016,test,2016,hof__smooth_uniform_bs_delta_residual__idx004__c006,bs,all_hof,results\interpret_real_walkforward\2016_final_WF_exp1_k1_test2016\final_WF_exp1_k1_test2016_5000_test_hof_all_bootstrap_summary.csv,smooth_uniform_bs_delta_residual,Smooth uniform,hof__smooth_uniform_bs_delta_residual__idx004__c006,6
