iv_bin,m_bin,mean_delta_gap,steps
<12%,<0.90,-0.013602822783695042,66
<12%,0.90-0.95,-0.04141694995015578,1200
<12%,0.95-1.05,-0.03319736980610915,10696
<12%,1.05-1.10,0.013740660840055208,1
<12%,>1.10,,0
12-18%,<0.90,-0.022725724369414703,1177
12-18%,0.90-0.95,-0.05333743882810151,3134
12-18%,0.95-1.05,-0.04404069831784283,18284
12-18%,1.05-1.10,0.017201100955751485,1483
12-18%,>1.10,0.04100702412864448,48
18-25%,<0.90,-0.03641277989514793,1534
18-25%,0.90-0.95,-0.07867192478075,2559
18-25%,0.95-1.05,-0.055672682609251484,9436
18-25%,1.05-1.10,-0.02083971739631347,6017
18-25%,>1.10,0.028964080603775966,3169
>25%,<0.90,-0.12150629815671317,308
>25%,0.90-0.95,-0.14537357735517323,338
>25%,0.95-1.05,-0.0664340242461279,3483
>25%,1.05-1.10,-0.03097564107325741,4101
>25%,>1.10,0.017110581421703155,8293
