state3,steps_agent,steps_bs,sum_pnl_agent,sum_pnl_bs,mean_negative_step_pnl_agent,mean_negative_step_pnl_bs,loss_share_agent,loss_share_bs,combined_loss_share
spot_down/option_down/iv_down,12298.0,12003.0,-1288.2800281196703,-1018.443653787396,-0.1047552470417686,-0.08484909220923069,0.40881064106777,0.3216134557067098,0.7304240967744797
spot_up/option_up/iv_down,11879.0,17316.0,-875.8724708075513,-1331.6526879240605,-0.07373284542533473,-0.07690301963063413,0.277941114096962,0.4205214703549917,0.6984625844519536
spot_up/option_down/iv_down,4056.0,4056.0,-349.63323670837747,-397.04828597183655,-0.08620148834032976,-0.09789158924354945,0.11094931576791767,0.12538354071818425,0.23633285648610192
spot_down/option_down/iv_up,8920.0,4370.0,-332.58889167470994,-106.61668137580122,-0.037285750187747754,-0.024397409925812637,0.10554062397133365,0.0336683911827003,0.13920901515403394
spot_up/option_up/iv_up,3792.0,4467.0,-95.78822453424166,-106.87740401437244,-0.025260607735823223,-0.023925991496389624,0.030396532294102493,0.033750724563108764,0.06414725685721126
spot_down/option_down/iv_flat,952.0,746.0,-84.45021852432754,-54.06910107026978,-0.08870821273563817,-0.07247868776175574,0.02679863633656875,0.017074435465818043,0.043873071802386795
spot_up/option_up/iv_flat,910.0,1276.0,-58.34867286721342,-79.1503005138527,-0.06411942073320157,-0.06203001607668707,0.018515817865402257,0.024994806117961958,0.043510623983364215
spot_up/option_down/iv_flat,296.0,296.0,-35.707061391264716,-38.66959412090585,-0.1206319641596781,-0.13064052067873597,0.011330942294677232,0.01221143825655042,0.023542380551227652
spot_up/option_down/iv_up,615.0,615.0,-28.023719679360937,-30.28643813774857,-0.04556702386887957,-0.04924624087438791,0.008892783057379528,0.009564128554687992,0.01845691161206752
spot_up/option_flat/iv_down,83.0,86.0,-2.1535567322778526,-3.274989169214116,-0.02594646665395003,-0.03808126940946647,0.000683389394449682,0.0010342060458583553,0.0017175954403080371
spot_up/option_flat/iv_up,43.0,47.0,-0.33218849272548,-0.44443402899433526,-0.007725313784313488,-0.00945604317009224,0.00010541356514286105,0.00014034744422725093,0.000245761009370112
spot_up/option_flat/iv_flat,3.0,3.0,-0.1096342146682592,-0.1363428389076099,-0.036544738222753066,-0.0454476129692033,3.479028829385003e-05,4.305558920110219e-05,7.784587749495221e-05
