state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_down/option_down/iv_down,242,-22.469863729287614,-0.09285067656730418,-0.30562111678493337,0.21277043946503668,-0.021654433893879197,-0.03487598648691051,2015,agent,0.28074245939675174,0.3646385037404533
spot_down/option_down/iv_flat,16,-0.84745256330257,-0.052965785206410626,-0.4026540800480519,0.3496882920593324,-0.040436332117467666,-0.03701975564469577,2015,agent,0.018561484918793503,0.013752367989258737
spot_down/option_down/iv_up,150,-4.605817898078001,-0.03070545265385334,-0.3439130422357937,0.31320759021612443,-0.04078281591384682,-0.04520127681682642,2015,agent,0.1740139211136891,0.07474271170888884
spot_up/option_down/iv_down,107,-12.35190138554894,-0.11543833070606487,-0.050409584511671206,-0.06502874599188598,0.008525251987021401,-0.0250450627000458,2015,agent,0.12412993039443156,0.2004453117223685
spot_up/option_down/iv_flat,4,-0.27463492122239996,-0.06865873030559999,-0.05993286557244492,-0.00872586472845604,0.0015228535245749991,-0.06333273714624363,2015,agent,0.004640371229698376,0.004456745619640129
spot_up/option_down/iv_up,6,-0.33730639036011,-0.056217731726685004,-0.028387744506615024,-0.027829986917939666,0.0031608902405033303,-0.050642473300700465,2015,agent,0.0069605568445475635,0.00547377140176823
spot_up/option_up/iv_down,274,-18.782573749948853,-0.06854953923338997,0.26832264286569263,-0.33687218263157903,0.028187010944938196,-0.034875998337240456,2015,agent,0.31786542923433875,0.3048015631554167
spot_up/option_up/iv_flat,11,-0.6947608315444639,-0.06316007559495126,0.5301336547420155,-0.5932937234146132,0.06481759314262692,-0.05047492994180664,2015,agent,0.012761020881670533,0.01127450318008129
spot_up/option_up/iv_up,52,-1.2579897928948687,-0.0241921114018244,0.1666821640857298,-0.1908742751820977,0.0034765113987153978,-0.01605775827157092,2015,agent,0.060324825986078884,0.0204145214821243
spot_down/option_down/iv_down,398,-29.75970171197525,-0.0747731198793348,-0.20451694348180746,0.12974382329837636,-0.010945078343565907,-0.034517130139507204,2016,agent,0.2758142758142758,0.3596251572104639
spot_down/option_down/iv_flat,15,-1.22993140655894,-0.08199542710392933,-0.3569057116965374,0.2749102899104863,-0.01764723131356333,-0.0452824457171458,2016,agent,0.010395010395010396,0.014862859840556108
spot_down/option_down/iv_up,261,-6.307596216065817,-0.024167035310597,-0.23769319942789208,0.21352616393125018,-0.026275668679906064,-0.039386043438314394,2016,agent,0.18087318087318088,0.0762228836423454
spot_up/option_down/iv_down,136,-13.922318904503161,-0.10236999194487618,-0.06564522200013023,-0.036724769999480836,0.0040791495936231695,-0.03428082847370178,2016,agent,0.09424809424809424,0.16824147544299578
spot_up/option_down/iv_flat,3,-0.46344363836631997,-0.15448121278877333,-0.10196392297122658,-0.052517289070437075,0.0056565113839800035,-0.017748589078672366,2016,agent,0.002079002079002079,0.005600391862752143
spot_up/option_down/iv_up,29,-1.3838042185733226,-0.04771738684735595,-0.029460321447003814,-0.01825706538916448,0.0012440755354578448,-0.03448070198250339,2016,agent,0.020097020097020097,0.016722305030788684
