year,metric,label,center,lower,upper,significant,sig90,sig95,sig99,lower90,upper90,lower95,upper95,lower99,upper99,outperforms,n_episodes,n_clusters
2015,cvar,CVaR 5%,0.23610595089187658,-0.09991338761097035,0.3677584089947791,False,False,False,False,-0.09991338761097035,0.35930340396337646,-0.09991338761097035,0.3677584089947791,-0.09991338761097035,0.3834041282605253,False,75,11
2016,cvar,CVaR 5%,0.1356019236818986,-0.02974670713761463,0.337439660348863,False,True,False,False,0.0037290725035205256,0.29713799853246864,-0.029746707137614736,0.337439660348863,-0.09608468443477673,0.4423868407281386,False,117,11
2017,cvar,CVaR 5%,0.03715486723529793,-0.008224598358103853,0.10054164228403902,False,True,False,False,0.00213588883148288,0.09296950486967258,-0.008224598358103873,0.10054164228403902,-0.03887909270198831,0.11099573503119553,False,250,11
2018,cvar,CVaR 5%,0.1674146778925345,-0.02134884742274531,0.20782134419943543,False,False,False,False,-0.006827889052135869,0.20353643136759866,-0.021348847422745326,0.20782134419943543,-0.04077406435543193,0.21379000068270748,False,320,11
2019,cvar,CVaR 5%,0.10242429313024304,-0.0422677667754119,0.2217170482467095,False,False,False,False,-0.020093501654308045,0.20356596164695148,-0.04226776677541192,0.2217170482467095,-0.08312489993931471,0.24925391706641006,False,319,11
2020,cvar,CVaR 5%,0.04548505089413202,-0.17187981754331627,0.39100520911136244,False,False,False,False,-0.138836119578677,0.3333530939530712,-0.1718798175433163,0.39100520911136244,-0.2393219294496016,0.5127266452350868,False,518,11
2021,cvar,CVaR 5%,0.08183770319019845,0.0057254064918052135,0.1591666546462617,True,True,True,False,0.018306744130356545,0.14853231368937536,0.005725406491805213,0.1591666546462617,-0.01901314237960242,0.1795607264016603,True,597,11
2022,cvar,CVaR 5%,0.04684080924337508,-0.06244354125013131,0.1973092288848333,False,False,False,False,-0.04741462090088675,0.17816317284086255,-0.06244354125013135,0.1973092288848333,-0.11133564523198593,0.2301649375087914,False,759,12
2023,cvar,CVaR 5%,0.05729450280379722,-0.0800050904182308,0.19253604360844864,False,False,False,False,-0.07222678854181591,0.1704839853661628,-0.0800050904182308,0.19253604360844864,-0.09390590620856841,0.22891055192495546,False,632,11
2015,log_downside_variance,Log Downside Variance,-0.8020993298190366,-1.100555391904601,-0.27071696706060533,True,True,True,True,-1.0648742708002819,-0.3245948220408358,-1.100555391904601,-0.27071696706060533,-1.2003079300934307,-0.17929192020010248,True,75,11
